ÐòºÅ	X1	X2	X3	X4	X5	Y
1	70	64	5	1	1	1
2	60	63	9	1	1	0
3	70	65	11	1	1	0
4	40	69	10	1	1	0
5	40	63	58	1	1	0
6	70	48	9	1	1	0
7	70	48	11	1	1	0
8	80	63	4	2	1	0
9	60	63	14	2	1	0
10	30	53	4	2	1	0
11	80	43	12	2	1	0
12	40	55	2	2	1	0
13	60	66	25	2	1	1
14	40	67	23	2	1	0
15	20	61	19	3	1	0
16	50	63	4	3	1	0
17	50	66	16	0	1	0
18	40	68	12	0	1	0
19	80	41	12	0	1	1
20	70	53	8	0	1	1
21	60	37	13	1	1	0
22	90	54	12	1	0	1
23	50	52	8	1	0	1
24	70	50	7	1	0	1
25	20	65	21	1	0	0
26	80	52	28	1	0	1
27	60	70	13	1	0	0
28	50	40	13	1	0	0
29	70	36	22	2	0	0
30	40	44	36	2	0	0
31	30	54	9	2	0	0
32	30	59	87	2	0	0
33	40	69	5	3	0	0
34	60	50	22	3	0	0
35	80	62	4	3	0	0
36	70	68	15	0	0	0
37	30	39	4	0	0	0
38	60	49	11	0	0	0
39	80	64	10	0	0	1
40	70	67	18	0	0	1
